,Screen_Size,Screen_Tech,Screen_Body_Ratio,CPU_Model,CPU_Freq,GPU_Model,RAM,Operating_System,CPU_Tickness,GPU_Freq,RAM_Type,Camera_Resolution,Selfie_Camera_Resolution,Width,Height,Tickness,Weight,Charge_Type,Battery_Size,Storage_Capacity,Release_Year,PRICE
0,6.43 inç,AMOLED,84.4 %,Qualcomm SM6115 Snapdragon 662,2.0 GHz,Adreno 610,4 GB RAM,Android 11,11 nm,950 MHz,LPDDR4x,48 MP,16 MP,73.8 mm,6.43 inç,8 mm,175 gr,USB Type-C,5000 mAh,128 GB,2021,"3.165,12 TL"
1,6.1 inç,IPS LCD,79 %,Apple A13 Bionic,2.66 GHz,Missing,4 GB RAM,iOS 13,7 nm,Missing,LPDDR4x,12 MP,12 MP,75.7 mm,6.1 inç,8.3 mm,194 gr,Lightning,Missing,128 GB,2019,"10.919,00 TL"
2,6.43 inç,AMOLED,83.5 %,Mediatek Helio G95,2.05 GHz,Mali-G76 MC4,6 GB RAM,Android 11,12 nm,Missing,LPDDR4x,64 MP,13 MP,74.5 mm,6.43 inç,8.3 mm,178.8 gr,USB Type-C,5000 mAh,128 GB,2021,"3.789,00 TL"
3,6.5 inç,Super AMOLED,86.1 %,Exynos 9611,2.3 GHz,Mali-G72 MP3,6 GB RAM,Android 10.0,10 nm,Missing,LPDDR4x,64 MP,32 MP,74.4 mm,6.5 inç,9.3 mm,203 gr,USB Type-C,6000 mAh,128 GB,2020,"3.599,00 TL"
4,6.43 inç,AMOLED,85.2 %,Mediatek MT6779V Helio P95,2.2 GHz,PowerVR GM9446,8 GB RAM,Android 11,12 nm,970 MHz,LPDDR4x,48 MP,32 MP,73.2 mm,6.43 inç,7.8 mm,172 gr,USB Type-C,4310 mAh,128 GB,2021,"4.206,45 TL"
5,6.1 inç,OLED,86.0 %,Apple A14 Bionic,Missing,Apple Quad-Core,4 GB RAM,iOS 14,5 nm,Missing,Missing,12 MP,12 MP,71.5 mm,6.1 inç,7.4 mm,164 gr,Lightning,2775 mAh,64 GB,2020,"12.989,00 TL"
6,6.5 inç,Super AMOLED,84.9 %,Qualcomm Snapdragon 720G (SM7125),2.3 GHz,Adreno 619,8 GB RAM,Android 11,8 nm,Missing,LPDDR4x,64 MP,32 MP,75.1 mm,6.5 inç,8.4 mm,189 gr,USB Type-C,4500 mAh,128 GB,2021,"4.790,73 TL"
7,6.1 inç,IPS LCD,79 %,Apple A13 Bionic,2.66 GHz,Missing,4 GB RAM,iOS 13,7 nm,Missing,LPDDR4x,12 MP,12 MP,75.7 mm,6.1 inç,8.3 mm,194 gr,Lightning,Missing,64 GB,2019,"10.199,00 TL"
8,4.7 inç,IPS LCD,65.4 %,Apple A13 Bionic,2.65 GHz,Apple GPU,3 GB RAM,iOS 13,7 nm+,Missing,Missing,12 MP,7 MP,67.3 mm,4.7 inç,7.3 mm,148 gr,Lightning,1821 mAh,64 GB,2020,"6.449,00 TL"
9,6.67 inç,AMOLED,85.1 %,MediaTek MT6893 Dimensity 1200 5G,3.0 GHz,Mali-G77 MC9,8 GB RAM,Android 11,6 nm,886 MHz,LPDDR4x,108 MP,16 MP,76.9 mm,6.67 inç,8.8 mm,203 gr,USB Type-C,5000 mAh,256 GB,2021,"8.929,06 TL"
10,6.53 inç,IPS LCD,83.4%,Qualcomm SM6115 Snapdragon 662,2.0 GHz,Adreno 610,4 GB RAM,Android 10.0,11 nm,Missing,LPDDR4x,48 MP,8 Mp,77.3 mm,6.53 inç,9.6 mm,198 gr,USB Type-C,6000 mAh,128 GB,2021,"3.015,00 TL"
11,6.57 inç,OLED,89.9 %,Qualcomm SM7325 Snapdragon 778G 4G,2.4 GHz,Adreno 642L,8 GB RAM,Android 11,6 nm,Missing,Missing,64 MP,32 MP,73.7 mm,6.57 inç,7.8 mm,175 gr,USB Type-C,4300 mAh,128 GB,2021,"9.170,00 TL"
12,6.1 inç,IPS LCD,79 %,Apple A13 Bionic,2.66 GHz,Missing,4 GB RAM,iOS 13,7 nm,Missing,LPDDR4x,12 MP,12 MP,75.7 mm,6.1 inç,8.3 mm,194 gr,Lightning,Missing,64 GB,2019,"10.199,00 TL"
13,6.5 inç,Super AMOLED,86.1 %,Exynos 9611,2.3 GHz,Mali-G72 MP3,6 GB RAM,Android 10.0,10 nm,Missing,LPDDR4x,64 MP,32 MP,74.4 mm,6.5 inç,9.3 mm,203 gr,USB Type-C,6000 mAh,128 GB,2020,"3.599,00 TL"
14,6.1 inç,OLED,86.0 %,Apple A15 Bionic,3.22 GHz,Apple Quad-Core,4 GB RAM,iOS 15,5 nm,Missing,LPDDR5,12 MP,12 MP,71.5 mm,6.1 inç,7.7 mm,174 gr,Lightning,3240 mAh,128 GB,2021,"15.213,52 TL"
