iter	Passed	Remaining
0	192	38244
1	196	19409
2	200	13135
3	204	10009
4	208	8128
5	213	6897
6	217	6010
7	222	5341
8	227	4829
9	232	4414
10	237	4076
11	242	3799
12	247	3562
13	252	3358
14	258	3184
15	263	3033
16	269	2899
17	275	2787
18	281	2678
19	286	2580
20	292	2492
21	298	2412
22	303	2339
23	309	2273
24	315	2211
25	322	2158
26	328	2106
27	335	2058
28	341	2013
29	348	1974
30	354	1933
31	361	1896
32	367	1862
33	374	1828
34	381	1799
35	388	1768
36	394	1738
37	401	1710
38	407	1683
39	414	1657
40	420	1632
41	427	1608
42	434	1585
43	440	1562
44	447	1541
45	453	1519
46	460	1497
47	465	1475
48	471	1452
49	477	1432
50	483	1412
51	489	1393
52	495	1375
53	502	1359
54	509	1343
55	515	1326
56	523	1312
57	528	1293
58	533	1275
59	540	1261
60	547	1247
61	554	1233
62	560	1218
63	566	1203
64	573	1190
65	579	1177
66	584	1161
67	590	1145
68	595	1130
69	601	1116
70	606	1101
71	611	1087
72	616	1072
73	621	1059
74	627	1045
75	632	1031
76	637	1017
77	642	1004
78	647	991
79	652	978
80	657	965
81	663	954
82	668	942
83	673	929
84	678	917
85	685	908
86	690	896
87	695	885
88	700	874
89	706	863
90	711	852
91	718	843
92	723	832
93	728	822
94	734	811
95	739	801
96	744	790
97	749	780
98	754	770
99	760	760
100	766	750
101	771	741
102	776	731
103	782	721
104	787	712
105	792	702
106	797	692
107	802	683
108	806	673
109	811	664
110	817	655
111	821	645
112	826	636
113	831	627
114	836	618
115	841	609
116	846	600
117	850	591
118	856	582
119	861	574
120	865	565
121	870	556
122	875	548
123	880	539
124	885	531
125	889	522
126	895	514
127	899	506
128	904	497
129	909	489
130	914	481
131	919	473
132	924	465
133	930	458
134	935	450
135	940	442
136	946	435
137	951	427
138	957	420
139	962	412
140	968	405
141	973	397
142	979	390
143	984	383
144	990	375
145	995	368
146	1000	360
147	1006	353
148	1012	346
149	1018	339
150	1023	332
151	1028	324
152	1033	317
153	1039	310
154	1044	303
155	1050	296
156	1055	288
157	1060	281
158	1065	274
159	1070	267
160	1075	260
161	1081	253
162	1085	246
163	1090	239
164	1095	232
165	1100	225
166	1105	218
167	1110	211
168	1114	204
169	1119	197
170	1125	190
171	1130	184
172	1136	177
173	1142	170
174	1148	164
175	1154	157
176	1159	150
177	1165	144
178	1171	137
179	1176	130
180	1181	124
181	1186	117
182	1192	110
183	1197	104
184	1202	97
185	1208	90
186	1213	84
187	1218	77
188	1222	71
189	1227	64
190	1232	58
191	1238	51
192	1243	45
193	1248	38
194	1253	32
195	1258	25
196	1264	19
197	1269	12
198	1274	6
199	1280	0
