iter	Passed	Remaining
0	2	1169
1	5	1025
2	7	1008
3	9	967
4	11	947
5	14	950
6	16	940
7	19	953
8	22	988
9	25	978
10	27	966
11	29	965
12	32	956
13	34	947
14	37	949
15	39	946
16	41	942
17	44	939
18	46	938
19	49	935
20	51	937
21	54	933
22	56	929
23	59	929
24	61	928
25	64	925
26	66	925
27	69	924
28	72	922
29	74	923
30	77	922
31	80	920
32	82	918
33	85	915
34	87	912
35	90	911
36	92	909
37	95	909
38	98	907
39	100	905
40	103	902
41	105	903
42	108	902
43	111	900
44	114	899
45	116	898
46	119	897
47	122	895
48	124	893
49	127	891
50	130	890
51	132	888
52	135	887
53	138	884
54	140	882
55	143	880
56	146	878
57	148	876
58	151	875
59	153	872
60	156	870
61	159	868
62	161	865
63	164	863
64	167	861
65	169	858
66	172	856
67	175	855
68	177	853
69	180	850
70	183	848
71	185	846
72	188	844
73	191	842
74	194	840
75	196	839
76	199	837
77	202	836
78	205	835
79	208	832
80	210	829
81	213	827
82	216	825
83	218	823
84	221	820
85	224	818
86	227	817
87	229	814
88	232	812
89	235	810
90	238	810
91	241	809
92	244	807
93	247	805
94	250	805
95	253	803
96	256	801
97	259	799
98	262	798
99	266	799
100	269	798
101	274	801
102	277	799
103	281	799
104	284	798
105	287	797
106	290	795
107	293	793
108	296	791
109	299	790
110	302	788
111	305	786
112	308	784
113	311	782
114	314	779
115	318	778
116	321	776
117	324	775
118	328	774
119	332	774
120	335	774
121	339	772
122	342	770
123	344	767
124	348	766
125	351	763
126	353	760
127	356	757
128	359	755
129	362	752
130	365	749
131	367	746
132	370	743
133	373	740
134	375	737
135	378	734
136	380	731
137	383	728
138	386	725
139	389	722
140	391	719
141	394	717
142	397	714
143	399	711
144	402	708
145	405	705
146	408	702
147	410	699
148	413	696
149	415	693
150	418	690
151	421	687
152	423	684
153	426	681
154	428	678
155	431	674
156	433	671
157	436	669
158	439	666
159	442	663
160	444	660
161	447	657
162	450	654
163	452	651
164	455	648
165	457	645
166	460	642
167	463	639
168	465	636
169	468	633
170	471	631
171	473	628
172	476	625
173	479	622
174	482	619
175	484	616
176	488	615
177	491	613
178	494	610
179	497	608
180	500	605
181	502	602
182	505	599
183	508	596
184	510	593
185	513	590
186	516	588
187	518	585
188	521	582
189	524	579
190	526	576
191	529	573
192	531	570
193	534	567
194	536	564
195	539	561
196	542	559
197	545	556
198	548	553
199	550	550
200	553	548
201	556	545
202	558	542
203	561	539
204	564	536
205	566	533
206	569	531
207	572	528
208	574	525
209	577	522
210	580	519
211	582	516
212	585	514
213	588	511
214	590	508
215	593	505
216	596	502
217	598	500
218	601	497
219	604	494
220	607	491
221	609	488
222	612	486
223	614	483
224	617	480
225	620	477
226	623	475
227	626	472
228	628	469
229	631	466
230	634	464
231	637	461
232	639	458
233	642	455
234	645	452
235	647	450
236	650	447
237	653	444
238	656	441
239	658	439
240	661	436
241	664	433
242	666	430
243	669	427
244	672	425
245	674	422
246	677	419
247	680	416
248	682	414
249	685	411
250	688	408
251	691	405
252	693	403
253	696	400
254	699	397
255	702	394
256	704	392
257	707	389
258	710	386
259	712	383
260	715	381
261	718	378
262	721	375
263	723	372
264	726	370
265	729	367
266	731	364
267	734	361
268	737	359
269	740	356
270	742	353
271	745	350
272	748	348
273	750	345
274	753	342
275	756	339
276	758	336
277	761	334
278	763	331
279	766	328
280	769	325
281	771	322
282	774	320
283	776	317
284	779	314
285	782	311
286	785	309
287	787	306
288	790	303
289	793	300
290	795	298
291	798	295
292	801	292
293	803	289
294	806	287
295	809	284
296	812	281
297	814	278
298	817	276
299	820	273
300	822	270
301	825	267
302	827	265
303	830	262
304	833	259
305	835	256
306	838	254
307	841	251
308	843	248
309	846	245
310	849	243
311	852	240
312	854	237
313	857	234
314	860	232
315	862	229
316	865	226
317	867	223
318	870	221
319	873	218
320	876	215
321	879	212
322	881	210
323	884	207
324	887	204
325	889	201
326	892	199
327	895	196
328	897	193
329	900	191
330	903	188
331	906	185
332	908	182
333	911	180
334	916	177
335	918	175
336	921	172
337	924	169
338	927	166
339	929	164
340	932	161
341	935	158
342	938	155
343	941	153
344	944	150
345	946	147
346	949	145
347	952	142
348	955	139
349	958	136
350	961	134
351	964	131
352	967	128
353	970	126
354	974	123
355	977	120
356	980	118
357	983	115
358	986	112
359	988	109
360	991	107
361	994	104
362	997	101
363	1001	99
364	1004	96
365	1007	93
366	1009	90
367	1012	88
368	1015	85
369	1018	82
370	1020	79
371	1023	77
372	1025	74
373	1028	71
374	1031	68
375	1033	65
376	1036	63
377	1039	60
378	1042	57
379	1045	55
380	1047	52
381	1050	49
382	1052	46
383	1055	43
384	1058	41
385	1061	38
386	1063	35
387	1066	32
388	1068	30
389	1071	27
390	1074	24
391	1076	21
392	1079	19
393	1082	16
394	1084	13
395	1087	10
396	1090	8
397	1092	5
398	1095	2
399	1097	0
